,date,building_1,building_10,building_11,building_12,building_13a,building_13b,building_13c,building_13d,building_13e,building_13f,building_15,building_16,building_17,building_18,building_19,building_2,building_20,building_21,building_22,building_23,building_24,building_25,building_26,building_27,building_28,building_29,building_30,building_31,building_32,building_33,building_35,building_36,building_37,building_38,building_3a,building_3b,building_3d,building_3e,building_4,building_40,building_41,building_42,building_43,building_44,building_45,building_46,building_47,building_48,building_5,building_50,building_53,building_54,building_56,building_59,building_6,building_61,building_62,building_63,building_64,building_67,building_68,building_69,building_7,building_70,building_72,building_73,building_74,building_75,building_76,building_77,building_8,building_80,building_81,building_82,building_84,building_85,building_86,building_87,building_88,building_89,building_9,building_90
673,20150118,,,,,,,,,,,,,,,,,,,,,410.90234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,20150119,,,,,,,,,,,,,,,,,,,,,474.208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,20150120,,,,,,,,,,,,,,,,,,,,,559.119140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,20150121,,,,,,,,,,,,,,,,,,,,,604.865234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,20150122,,,,,,,,,,,,,,,,,,,,,599.861328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,20150123,,,,,,,,,,,,,,,,,,,,,497.009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,20150124,,,,,,,,,,,,,,,,,,,,,391.626953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,20150125,,,,,,,,,,,,,,,,,,,,,392.462890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,20150126,,,,,,,,,,,,,,,,,,,,,426.4765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,20150127,,,,,,,,,,,,,,,,,,,,,442.60546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,20150128,,,,,,,,,,,,,,,,,,,,,507.29296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,20150129,,,,,,,,,,,,,,,,,,,,,505.515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,20150130,,,,,,,,,,,,,,,,,,,,,480.99609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,20150131,,,,,,,,,,,,,,,,,,,,,414.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,20150201,,,,,,,,,,,,,,,,,,,,,423.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,20150202,,,,,,,,,,,,,,,,,,,,,500.40234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,20150203,,,,,,,,,,,,,,,,,,,,,518.42578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,20150204,,,,,,,,,,,,,,,,,,,,,599.4453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,20150205,,,,,,,,,,,,,,,,,,,,,616.30859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,20150206,,,,,,,,,,,,,,,,,,,,,562.734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,20150207,,,,,,,,,,,,,,,,,,,,,454.21484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,20150208,,,,,,,,,,,,,,,,,,,,,494.25390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,20150209,,,,,,,,,,,,,,,,,,,,,612.390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,20150210,,,,,,,,,,,,,,,,,,,,,624.23828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,20150211,,,,,,,,,,,,,,,,,,,,,885.79296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,20150212,,,,,,,,,,,,,,,,,,,,,568.01953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,20150213,,,,,,,,,,,,,,,,,,,,,617.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,20150214,,,,,,,,,,,,,,,,,,,,,452.7109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
